Vendor,GRAPHTEC Corporation
Model,GL240
Firmware,Ver1.27
Software, "Ver1.20"
MaxChannel,10CH
GSStartCH
WLStartCH,10CH
Sampling,2s
Total data points,1704        
Trigger,0           
Start time,2020-01-09,16:04:10
Stop time,2020-01-09,17:00:59
Trigger time,2020-01-09,16:04:13
AC Mode, AC1_2, AC1_2
Logic/Pulse,Off,Off
Amp setting
CH, Signal name, AMP, Input, Range, Temp Range, Filter, Span
CH1,C/C,M,DC,1-5V,,Off,15000.000000,0.000000,psi
CH2,HS ICV 2/3,M,DC,1-5V,,Off,15000.000000,0.000000,psi
CH3,LVO 1/3,M,DC,1-5V,,Off,15000.000000,0.000000,psi
CH4,HS ICV 3/3,M,DC,1-5V,,Off,15000.000000,0.000000,psi
CH5,Anvil,M,DC,1-5V,,Off,15000.000000,0.000000,psi
Data
No., Date&Time, ms,CH1,CH2,CH3,CH4,CH5,Alarm1,AlarmOut
NO.,Time,ms,psi,psi,psi,psi,psi,A1234567890,A123456789
1,2020-01-09 16:04:13,000,      +2,     -13,     -16,     -17,     +24,LLLLLLLLLL,LLLLLLLLL
2,2020-01-09 16:04:15,000,      +2,     -11,     -16,     -15,     +24,LLLLLLLLLL,LLLLLLLLL
3,2020-01-09 16:04:17,000,      +2,     -11,     -16,     -17,     +23,LLLLLLLLLL,LLLLLLLLL
4,2020-01-09 16:04:19,000,      +2,     -10,     -17,     -16,     +23,LLLLLLLLLL,LLLLLLLLL
5,2020-01-09 16:04:21,000,      +3,     -10,     -16,     -16,     +22,LLLLLLLLLL,LLLLLLLLL
6,2020-01-09 16:04:23,000,      +2,      -9,     -15,     -16,     +22,LLLLLLLLLL,LLLLLLLLL
7,2020-01-09 16:04:25,000,      +2,      -9,     -16,      +9,     +22,LLLLLLLLLL,LLLLLLLLL
8,2020-01-09 16:04:27,000,      +3,      -9,     -15,     +82,     +23,LLLLLLLLLL,LLLLLLLLL
9,2020-01-09 16:04:29,000,      +3,      -8,     -15,    +379,     +23,LLLLLLLLLL,LLLLLLLLL
10,2020-01-09 16:04:31,000,      +3,      -8,     -15,    +525,     +22,LLLLLLLLLL,LLLLLLLLL
11,2020-01-09 16:04:33,000,      +3,      -8,     -15,    +487,     +22,LLLLLLLLLL,LLLLLLLLL
